Data_ID,Country_Code,Year,Country,Area_Harvested_ha,Production_tonnes,Yield_hg_per_ha,GDP,Mortalilty,Fertility,Population,Trade_Import,Trade_Export,Total_Violent_fatalities
158,SYR,2006,Syria,4763026,16322049,7341802,1750.402099,3.438,3.312,18915,11488278728,10919370783,9
159,SYR,2007,Syria,4749546,14291331,7179638,2051.249403,3.572,3.238,19633,14655130254,11545710211,0
160,SYR,2008,Syria,4653585,11809138,7551731,2585.818828,3.798,3.178,20325,18104749275,1438037906,20
161,SYR,2009,Syria,4368344,14195976,7985115,2598.416003,4.103,3.131,20825,15442769571,9693796900,0
162,SYR,2010,Syria,4852412,13401359,7666822,2876.711053,4.457,3.093,21019,17561575593,11352923632,0
163,SYR,2011,Syria,4619423,15719052,8271376,2644.413676,4.818,3.06,20864,0,0,165
164,SYR,2012,Syria,4563760,13390377,7389695,1961.60183,5.142,3.027,20421,0,0,956
165,SYR,2013,Syria,4336996,11472913,8118461,1598.586565,5.391,2.991,19809,0,0,1643
166,SYR,2014,Syria,4167190,8765791,7782504,1774.551838,5.545,2.95,19203,0,0,4163
167,SYR,2015,Syria,3854089,9919121,8043079,1034,0,0,0,0,0,4760
168,SYR,2016,Syria,4080858,11269018,8022500,1034,0,0,0,0,0,3468
169,YEM,1961,Yemen,1310311,1228240,945478,419,0,0,0,0,0,0
170,YEM,1962,Yemen,1345609,1266576,950095,419,0,0,0,0,0,0
171,YEM,1963,Yemen,1391521,1310491,957440,419,0,0,0,0,0,0
172,YEM,1964,Yemen,1412271,1322433,957116,419,0,0,0,0,0,0
173,YEM,1965,Yemen,1425196,1352285,962002,419,0,0,0,0,0,0
174,YEM,1966,Yemen,1303863,1248846,957767,419,0,0,0,0,0,0
175,YEM,1967,Yemen,1262528,1245667,970716,419,0,0,0,0,0,0
176,YEM,1968,Yemen,1239290,1229135,978845,419,0,0,0,0,0,0
177,YEM,1969,Yemen,1232580,1226167,958817,419,0,0,0,0,0,0
178,YEM,1970,Yemen,1223937,1138332,862370,94.55401521,24.568,7.774,6194,0,0,0
179,YEM,1971,Yemen,1255396,1418183,997633,96.43579182,23.802,7.826,6301,0,0,0
180,YEM,1972,Yemen,1205267,1315738,967921,122.3587399,23.061,7.894,6407,0,0,0
181,YEM,1973,Yemen,1276914,1511712,981558,104.5632996,22.328,7.98,6523,0,0,0
182,YEM,1974,Yemen,1283157,1478341,997611,118.1740727,21.6,8.081,6662,0,0,0
183,YEM,1975,Yemen,1452224,1831625,1152737,132.0566318,20.868,8.193,6831,0,0,0
184,YEM,1976,Yemen,1467020,1743619,1203611,149.6420193,20.122,8.311,7035,0,0,0
185,YEM,1977,Yemen,1193568,1620631,1179574,171.4274101,19.358,8.427,7272,0,0,0
186,YEM,1978,Yemen,1061284,1570799,1160146,190.1362477,18.578,8.532,7537,0,0,0
187,YEM,1979,Yemen,1109081,1668064,2414635,200.9676031,17.789,8.622,7822,0,0,0
188,YEM,1980,Yemen,1051466,1665076,2557130,225.5908562,16.998,8.697,8121,0,0,0
189,YEM,1981,Yemen,1046993,1679303,2421295,243.8187216,16.216,8.756,8434,0,0,0
190,YEM,1982,Yemen,1103753,1663354,2388517,273.1302128,15.458,8.804,8765,0,0,0
191,YEM,1983,Yemen,1105095,1292864,2323106,276.4701279,14.739,8.84,9111,0,0,0
192,YEM,1984,Yemen,1058925,1393097,3199823,279.2330369,14.07,8.864,9472,0,0,0
193,YEM,1985,Yemen,1015247,1381014,3144982,274.7976118,13.465,8.873,9848,0,0,0
194,YEM,1986,Yemen,1038896,1757575,3188371,256.6569058,12.936,8.865,10233,0,0,0
195,YEM,1987,Yemen,1023638,1726074,3278258,258.2643403,12.479,8.838,10629,0,0,0
196,YEM,1988,Yemen,1039963,1867349,3328686,261.9139305,12.089,8.789,11052,0,0,0
197,YEM,1989,Yemen,1072115,2025610,3235322,283.091338,11.757,8.714,11523,0,0,0
198,YEM,1990,Yemen,1059732,1890891,3019715,334.7573129,11.472,8.607,12057,0,0,0
199,YEM,1991,Yemen,841291,1483459,2974151,330.4005885,11.22,8.459,12662,0,0,1
200,YEM,1992,Yemen,958232,1956047,3085665,336.8282298,10.983,8.27,13326,0,0,21
201,YEM,1993,Yemen,989618,2061197,3102480,341.1655882,10.749,8.045,14017,0,0,0
202,YEM,1994,Yemen,972412,1943560,2938798,339.6029806,10.51,7.792,14693,0,0,1503
203,YEM,1995,Yemen,985266,2024924,3010856,387.4301658,10.263,7.521,15321,0,0,4
204,YEM,1996,Yemen,971616,1906398,2984260,458.45536,10.012,7.248,15889,0,0,3
205,YEM,1997,Yemen,1007611,1996532,3028879,475.1581736,9.766,6.986,16409,0,0,11
